epoch,accuracy,loss,val_accuracy,val_loss
0,0.8192548751831055,0.5445659756660461,0.9594444632530212,0.29378578066825867
1,0.955098032951355,0.1602173149585724,0.9476666450500488,0.455268532037735
2,0.9660000205039978,0.12145435065031052,0.9362221956253052,0.6594646573066711
3,0.969372570514679,0.10722888261079788,0.9817777872085571,0.14522558450698853
4,0.9737254977226257,0.09603971987962723,0.9831110835075378,0.13489826023578644
5,0.9761372804641724,0.08936285972595215,0.9851111173629761,0.10420943796634674
6,0.9794706106185913,0.0794324278831482,0.9786666631698608,0.18957723677158356
7,0.9805098176002502,0.07764036953449249,0.9893333315849304,0.1030052974820137
8,0.9815882444381714,0.0707896426320076,0.9788888692855835,0.21088705956935883
9,0.9817451238632202,0.0713321641087532,0.9466666579246521,0.4108750522136688
10,0.9828823804855347,0.06770143657922745,0.9853333234786987,0.14460542798042297
11,0.9882352948188782,0.04551465064287186,0.9890000224113464,0.08724197000265121
12,0.9894117712974548,0.040091633796691895,0.9886666536331177,0.1015540063381195
13,0.9896862506866455,0.03866522014141083,0.9827777743339539,0.15854217112064362
14,0.9906274676322937,0.03654739260673523,0.9848889112472534,0.10355804860591888
